nc_name,ens_region_id,cores,memory,storage
"08ce3c023ca32c367a6b2ed1933e4d6b","xian-telecom","77","257727","901028"
"70623049be18738f770f273dd9179ad4","xian-telecom","77","257727","901028"
"9cd6350a1f7e6d7c1572b00ea28e9043","xian-telecom","77","257727","901028"
"850bae50c7f4f55edc4a9c5dd0ca62d3","xian-telecom","77","257727","901028"
"88010fda875bf47005881b5f42f55c8a","xian-telecom","77","257727","901028"
"47c715c3a3cecef2218d1ace8f3ea4a2","xian-telecom","77","257727","901028"
"2d70a1721955ceb269f3d4a39360601f","xian-telecom","77","257727","901028"
"e79f91a34b6fb4857b40faf2a2d4449c","xian-telecom","64","257727","901028"
"1fb4752fb345374b59fcf310d79c6786","dalian-unicom","77","257727","901028"
"febf6fbfe1c34c880572f3bd492adbd7","dalian-unicom","64","257727","901028"
"7d085ac3a9758c9f3f991f998da0fd65","dalian-unicom","77","257727","901028"
"5280bda01530f70b5cdf8c43ceea1cb1","dalian-unicom","64","257727","901028"
"11f00349b8a8259de2aeadba620f6996","dalian-unicom","64","257727","901028"
"c1c271d057b0f08c848867b35b20e2d1","dalian-unicom","64","257727","901028"
"531d11e99c7aee3cefc7aa0cc8cac456","dalian-unicom","77","257727","901028"
"896dd2e4fdee2c705ba7e269c628dfe9","dalian-unicom","77","257727","901028"
"3474c724c73e0e06ecf50efd66d72f9e","dalian-unicom","77","257727","901028"
"0fb44a3d463655a950a7331a6bf21300","dalian-unicom","77","257727","901028"
"cbeae47062f95d532debb77fe316c45a","dalian-unicom","77","257727","901028"
"fb05bc1ea3e4f74199c1f6436506ad3c","dalian-unicom","77","257727","901028"
"38107f1cb5e1cce864a86bd8734345f3","dalian-unicom","77","257727","901028"
"68b6999d666cd1e8dca009ffa224445f","dalian-unicom","77","257727","901028"
"a15a05881a906056531f8e3a92d72d17","dalian-unicom","77","257727","901028"
"52925cbd862a29be7c38e42cd74d2ae8","guangzhou-cmcc","96","257733","1777045"
"5bed9ab5ccc29adfa4fd1359048a49ed","guangzhou-cmcc","96","257733","1777045"
"ff350c5d8dcc5e5bea6a5bdba0c9317c","guangzhou-cmcc","96","257733","1777045"
"7b22f0a656da677090a3e50e697de4a8","guangzhou-cmcc","96","257733","1777045"
"38432b1bd64aa272f75e41410822d1ed","guangzhou-cmcc","96","257733","1777045"
"e4b92e19cbf51e65bce10493b970cd9b","guangzhou-cmcc","120","257733","1777045"
"1ce8a0036d1baab0656b939e0e8bb8cd","guangzhou-cmcc","132","257733","1777045"
"2efa5f184ef7a601963f7e0ce116e3c8","guangzhou-cmcc","96","257733","1777045"
"d67fa8b1c9ef4b96394ada45e002ba65","chongqing-unicom","77","515759","1802014"
"40c5989ff9da630ff8db8a55a2435acb","chongqing-unicom","77","515759","1802014"
"4026ca649a0ad7b87acc3cc87b603a6b","chongqing-unicom","77","515759","1802014"
"89c2e7e2ff1f37a991596da0dfb598a8","chongqing-unicom","77","515759","1802014"
"24423ca47663c53b4d68638e87af414b","chongqing-unicom","77","515759","1802014"
"3bc4db4fe03a87d21313529f6fe44fe4","chongqing-unicom","77","515759","1802014"
"56fa12c95288d3da78cb38143314882f","chongqing-unicom","77","515759","1802014"
"e47eecd792bbd8638e2617d777efb774","chongqing-unicom","64","515759","1802014"
"13dbbe200cc297a21d2d188ea91ceae5","chongqing-unicom","77","515759","1802014"
"0b806f45b30727f14dbc403606bb5260","chongqing-unicom","77","515759","1802014"
"fdc37df6f613112465bfd8db9fc20a52","shijiazhuang-cmcc","77","515759","750991"
"a59a4b970fb240d8baf51f1ea05e3d3f","shijiazhuang-cmcc","64","515759","750991"
"b19812c927f90c250861c7b418987e79","shijiazhuang-cmcc","77","515759","750991"
"4c935cfb026f4f8af83c4683716659ac","shijiazhuang-cmcc","64","515759","750991"
"7fd9762bf192ed32f24f066f2a43e295","fuzhou-unicom","77","515759","750991"
"4f00192b0fb0027fa95669e3d2812034","fuzhou-unicom","64","515759","750991"
"dc611bd28e1a0e2bdce21d5420ab2b09","fuzhou-unicom","64","515759","750991"
"f64a89b8c9eec1fb8e097386ff75c368","fuzhou-unicom","77","515759","750991"
"e4ee7200b8d0046261ea55ad1a106d38","fuzhou-unicom","77","515759","750991"
"3cf531a26cf9ccc1bf2ea7462f1c8ed7","fuzhou-unicom","77","515759","750991"
"092bb7c59b8d51977b7cc4b0eebfdf8a","fuzhou-unicom","77","515759","750991"
"1e9d3ec227b1ff8a2a27aec71f30aee0","fuzhou-unicom","77","515759","750991"
"f1655b0202a6a46b6d677ff579bb78d1","suzhou-telecom","64","515482","683401"
"7137630eb5f21f0587ccc19f52c8ac9d","suzhou-telecom","64","515482","683401"
"81656c5376b37868c01a0b1cec226eed","suzhou-telecom","64","515482","683401"
"43882004c446c99db92ed47d28c438b6","suzhou-telecom","64","515482","683401"
"b6dacdd198b1728f674f828a05fa1ad3","suzhou-telecom","64","515482","750991"
"14f86ddaa70b3194ecc8c68c847a4143","suzhou-telecom","64","515482","683401"
"096469dc7e53fdc2a54e5b6afd963424","suzhou-telecom","64","515482","750991"
"4e8dffdc5828de7c740eed8a6405bea7","suzhou-telecom","64","515481","683401"
"f999c7d86a3113be4552573f9dc2bf34","suzhou-telecom","64","515482","683401"
"fd356411b6d48d578e0448d9702f7221","suzhou-telecom","77","515482","683401"
"b3b316efa1c8e1ea7a6db52cb9a2564b","baicheng-unicom","77","257727","901028"
"30653f5a04c364d931e8fbef00ab7af5","baicheng-unicom","77","257727","901028"
