date,guangzhou-telecom,wuhan-telecom,xian-telecom,kunming-telecom,dalian-unicom,guangzhou-cmcc,chengdu-cmcc,xian-unicom,fuzhou-telecom,chongqing-unicom,chongqing-telecom,zhengzhou-telecom,shijiazhuang-telecom,lanzhou-telecom,zhengzhou-unicom,tianjin-unicom,nanchang-unicom,nanjing-unicom,xiamen-telecom,haerbin-telecom,guiyang-unicom,changchun-unicom,guiyang-telecom,shenzhen-unicom,nanchang-telecom,beijing-unicom,nanning-unicom,shenzhen-cmcc,beijing-telecom,nanjing-cmcc,lanzhou-unicom,wuhan-unicom,changsha-telecom,xian-cmcc,dalian-cmcc,kunming-cmcc,changsha-unicom,shanghai-other,zhengzhou-cmcc,shanghai-telecom,chengdu-telecom,wuhan-cmcc,jinan-unicom,shenzhen-telecom,shanghai-cmcc,tianjin-telecom,urumqi-telecom,kunming-unicom,xining-telecom,haerbin-cmcc,nanchang-cmcc,hefei-cmcc,hangzhou-cmcc,shijiazhuang-unicom,urumqi-cmcc,urumqi-unicom,taiyuan-telecom,haikou-telecom,changsha-cmcc,lhasa-cmcc,nanning-telecom,lhasa-unicom,xining-cmcc,nanning-cmcc,yinchuan-cmcc,tianjin-cmcc,shanghai-unicom,yinchuan-unicom,haikou-unicom,haikou-cmcc,chengdu-unicom,jinan-cmcc,haerbin-unicom,chongqing-cmcc,hohhot-telecom,taiyuan-cmcc,hangzhou-telecom
2020-06-01 00:00:00,5650.879571666665,4491.844899333333,5334.089134000003,486.23409133333337,1515.2184349999998,2502.5519610000006,3266.402148666668,1153.3315656666666,81.90071166666665,850.716218,2748.3700926666675,716.0882649999999,4106.333120666666,399.18125000000003,4486.188758666666,788.680496,254.96292900000003,4096.263312666667,2060.392618,582.3662269999999,171.891821,439.8981486666666,3157.4536133333345,597.8687733333333,2388.700300666667,105.775881,144.74522066666668,1050.2275893333333,5.948877666666665,4507.720196666666,36.68297866666667,1575.4436350000008,3358.925645000002,1718.3944546666664,3142.223992666666,4356.452264666667,3767.6400343333335,370.293961,5781.730989,461.38707700000003,382.5183856666667,655.3457963333334,27277.704883666665,1594.0565266666667,865.0502149999999,25.17750266666667,112.64498699999999,651.1887896666666,53.834332333333336,1020.3714803333335,485.4083396666667,719.9089126666667,329.8364366666666,109.52082733333332,135.343458,77.04421366666665,62.243706666666675,27.407342,196.22408666666666,292.11376,259.851245,16.075787,186.86031833333334,291.8974183333333,112.55366833333335,93.35237966666669,105.99970566666669,14.54593,27.138167,83.62332133333334,99.91742333333333,5692.832774333333,48.28972,1548.9904633333335,18.45835466666667,3.9482876666666664,135.5511206666667
2020-06-01 00:15:00,4823.906511999999,3413.484698,4501.614534000001,422.18144866666665,1358.0450999999998,2051.9808886666665,2213.4673336666674,961.313088,73.72609199999998,699.1388723333333,1819.828548,614.0226323333333,4604.367239999999,312.00782300000014,2974.5819370000004,694.3111466666668,246.5650893333333,3485.3777613333323,1847.379208333333,447.0324313333333,158.53162299999997,395.2307503333334,2870.1417739999997,563.2618609999997,1553.881137666666,97.13826066666665,143.52195833333332,943.4204063333333,5.263575000000001,4115.029891999999,34.04652533333333,1398.7008966666665,2715.5375359999985,1378.7725196666665,2190.254233666666,3005.3584306666667,2705.9935026666667,390.41639066666664,4775.773995333333,371.9455036666665,362.827424,544.6005740000003,27798.951595666666,3429.534036666667,766.3474679999999,23.252433666666665,135.091121,612.9842336666667,50.59247099999998,936.199664,453.4933023333333,623.4152933333332,285.30373533333335,82.96317566666667,128.532155,76.8841466666667,59.14469066666667,23.735748333333333,175.3674386666667,302.8805416666666,230.030351,12.784965666666668,185.13457566666665,252.86633366666666,104.15525133333333,82.79978866666666,89.89649766666669,12.274814333333333,21.629216000000003,70.00681733333336,78.80104033333332,6132.097019,43.359048333333334,1347.3847110000002,15.375489,3.9665236666666663,131.5461976666667
2020-06-01 00:30:00,4375.540674666666,3095.780479666668,4100.632971,382.8912270000001,1266.6691846666663,1916.1469903333332,1902.8555753333335,856.6825176666666,63.09348733333333,660.0370933333332,1579.0166519999993,531.294695,4418.088404666667,277.29314933333325,2557.4671673333332,616.9632056666668,245.00767999999997,3241.406943333333,1688.189877,392.07251999999994,155.1174813333333,371.75610699999993,2719.321307333334,512.3488846666667,1340.9705616666665,94.60112166666666,132.24433299999998,836.8064013333334,4.964429666666666,3918.6201763333324,30.90185866666667,1271.4601596666666,2413.290096,1150.4073896666664,1950.0484513333333,2661.0216086666665,2462.0989353333334,376.21545,4257.997106000001,330.601596,324.6019836666667,479.793034,24094.525086666665,4689.489903666667,686.8855616666666,22.483526666666663,137.91833699999998,552.066491,46.429705666666656,841.2742473333333,429.768841,542.3531526666666,258.4201793333333,75.63805400000001,130.14773399999996,71.22429166666667,56.210842666666665,22.23327166666666,176.28951199999997,272.4177853333333,169.9018943333333,11.594513666666666,180.82440766666664,204.40850100000003,106.08490233333335,73.93010233333331,85.05575,10.787519,18.216369666666665,64.58736733333333,75.22283866666668,4104.036431333334,36.77566999999999,1274.8718616666667,13.387402,3.822768,120.91606166666665
2020-06-01 00:45:00,4296.177802,2683.070564,3693.3600629999996,347.866461,1100.257132333333,1660.426133333333,1461.5913829999997,774.4309299999999,55.87192233333334,582.8125916666665,1224.4677486666665,469.2855876666667,3191.8204810000007,252.65288833333335,2074.0634016666663,544.9584846666668,239.21684600000003,2946.145367666667,1537.0322616666665,345.3020863333333,150.048448,355.1839110000001,2603.185040333333,459.3965289999999,1024.7674800000002,87.21912900000001,126.256492,730.3824693333333,4.589492333333333,3763.1183800000003,20.895487666666668,1129.579308,2503.743943333333,1017.3761069999999,1600.099394,2083.2985580000004,1937.6343003333332,379.0796616666667,3667.1688613333317,294.0344776666666,302.48693633333335,442.0943533333333,15793.705441999999,4508.277489333334,608.859682,22.446938666666664,123.762745,473.9165293333333,35.238331666666674,773.4301193333333,436.3147163333333,486.1851260000001,229.46896300000003,58.30757533333333,135.56609766666665,76.61543266666668,48.66921433333333,29.457029666666667,152.26869266666668,245.28007833333334,153.49825066666665,10.364352000000004,176.52857400000002,183.08720900000003,108.18828433333333,75.82492066666666,78.26266300000002,9.503157333333332,16.762355333333332,62.84267866666666,73.84605066666666,2782.5557420000005,31.69566466666667,1246.8377706666665,12.076379333333332,3.8697973333333335,114.29696133333334
2020-06-01 01:00:00,3779.5605663333336,2468.7798930000004,3602.516248333334,262.459349,1053.355394,1563.221458,1316.1429056666668,736.8202016666668,45.96250166666667,526.3350926666667,1111.4867683333334,367.63574833333337,2947.560187666665,228.7714273333333,1881.0566439999998,484.42166033333336,231.43427500000004,2753.5586126666667,1360.0539016666664,318.87443933333327,135.85126166666666,336.7412686666667,2378.375379000001,405.18281099999996,929.0844836666669,81.26234533333334,120.80328799999998,639.5777823333335,4.832257666666668,3711.820106666668,13.945007333333335,990.7624250000001,2543.2115583333334,951.1357306666666,1421.9624683333334,1775.609189,1782.863147999999,374.9303063333334,3316.2261519999997,266.740547,226.67507766666665,333.40794766666664,10979.181624666666,3466.741449,537.5746643333333,23.13897933333333,122.87835566666668,400.24161533333336,27.958162,702.7833309999999,430.3862863333334,397.0391263333333,199.2428313333333,47.70547766666666,143.2849513333333,71.65615366666664,37.499576999999995,29.792493000000004,116.59069333333333,205.77431733333327,126.33709266666668,9.098855333333333,156.79400833333332,155.52361666666664,85.72912266666665,71.96462600000002,68.197988,8.895245666666668,16.958212666666668,45.673502,67.27606399999999,2207.2401733333336,25.467832666666666,1018.2417750000001,10.921751333333335,3.8863489999999996,109.33309466666667
2020-06-01 01:15:00,3570.2708836666675,2290.7383379999997,3331.8045163333336,236.737962,966.5051326666668,1518.0753283333331,1193.4370540000002,658.7616096666668,39.62847300000001,475.46263833333336,1037.7142310000002,301.2970463333333,2548.977847999999,204.41371733333332,1784.293438,434.9666836666667,228.99045566666666,2637.221960333332,1193.642524,295.0902286666667,135.74089000000004,322.84057033333335,2168.5378193333336,378.3208993333334,856.7950706666667,77.28915199999999,115.92495,557.9267103333333,4.404888000000001,3530.217626666666,12.244572333333334,891.3402543333333,2453.258082666666,865.8489523333333,1320.6643736666663,1611.020424333333,1604.1176449999996,370.96436266666666,2976.337744666667,234.79075666666662,190.97627633333335,315.77392466666663,9695.607456333335,2695.2971226666664,475.399557,18.371125,121.48770333333333,354.35730566666666,26.056043999999996,664.8444686666668,413.5254446666668,358.19539166666664,175.69588233333334,40.67273133333334,133.47585999999998,77.32294833333333,29.245534666666664,18.566967,100.828984,224.06161566666665,117.590869,8.333813666666668,168.2231396666667,127.22347533333334,74.56096266666665,56.08198066666666,61.995633999999995,7.842338666666667,14.143860999999998,49.642771,49.89318633333333,1988.8235066666662,24.192459,933.6880573333334,9.773503333333332,3.833504333333333,102.31516199999999
2020-06-01 01:30:00,3330.166338666666,2151.193065666666,2920.626645666668,209.7843226666667,921.6904783333335,1480.7490666666665,1061.7266403333335,680.6557503333332,36.14884266666667,448.40227533333325,937.3526466666668,251.53239433333334,2119.747249333333,179.73311566666666,1568.9633336666668,390.50391299999995,220.79721466666666,2564.0208523333336,1060.058539,262.25968033333334,133.67742899999996,292.95735933333333,2080.3210313333334,330.81029933333343,762.4055166666667,72.33010933333333,114.552803,487.2366483333333,4.297037,3301.9251946666673,11.372327666666665,799.0540536666665,2281.5480983333337,799.9108436666664,1158.394833,1408.646322666667,1424.7416840000003,383.5575533333333,2707.181786333334,212.280776,162.4771983333333,310.06765499999995,8232.273574,2276.615463666667,417.09163600000005,17.742739333333333,96.59730466666667,316.3061036666666,26.824337333333336,593.6656553333331,403.0916796666666,312.3997493333333,153.0336346666667,30.899253666666663,124.79421866666665,76.05732233333333,25.652196333333332,13.893607666666666,84.266956,179.14692633333334,100.01122366666665,7.556916333333332,161.32513333333333,117.75277433333338,62.25309933333334,52.238790666666674,54.74466333333335,7.298247000000001,18.14015766666667,40.28803933333333,40.74933933333332,1819.4429456666664,22.987888333333327,864.4974316666667,8.896285999999998,3.798131,101.178352
2020-06-01 01:45:00,3170.206081,1978.2387580000002,2684.0158163333335,178.83758166666667,807.320538,1350.2665496666664,941.8331926666664,638.1049689999998,32.61551933333333,427.61235966666663,828.4969386666668,219.3197596666667,2119.333055,146.60976433333337,1459.2918716666663,355.258674,207.54516300000003,2460.2526366666675,940.023235333333,216.37320533333335,122.5823263333333,281.75852499999996,1961.471516666666,305.7242156666667,678.2287303333334,67.20635233333333,109.698903,432.01135866666664,4.304157666666667,3069.0759399999984,10.586599333333334,721.4572290000002,2279.5299330000003,758.41186,1016.0869743333333,1198.828704666667,1281.4187633333333,370.0433166666666,2558.1720606666668,185.01159833333335,152.6027696666667,269.2202053333333,8445.423319666666,1925.5912786666668,376.02643233333333,51.916703,94.57893666666668,287.13428366666665,27.006431666666668,549.0214990000001,368.7449183333333,269.46562766666665,131.84570699999998,26.407315333333326,113.21806966666665,72.35841566666667,26.162334666666666,10.969757666666668,78.83383866666667,142.42161866666666,90.08181199999999,7.050382,149.43064833333332,108.92079699999998,56.368698999999985,57.25790099999999,48.01853166666666,6.635710333333334,17.84764033333333,39.154754,38.13019366666667,1584.5902363333335,23.033513666666668,718.3915203333332,8.329562333333334,3.8757103333333336,95.98847966666665
2020-06-01 02:00:00,2932.609292333333,1931.7996846666665,2334.8963516666668,151.77379166666665,702.8413109999997,1306.8729703333338,835.7987276666664,579.8381299999999,27.95437433333333,378.84990999999997,697.7802746666669,190.26968533333334,1982.3853900000008,126.87789633333331,1276.9373759999999,325.864851,203.88599866666664,2339.599803333333,839.3478150000002,192.3854903333333,113.63513266666669,269.0190296666667,1733.8189766666662,288.6848673333334,586.3377876666666,62.69259333333333,110.53892300000001,380.92561433333333,4.1066623333333325,2926.8013456666654,11.717307333333334,648.6089689999999,2226.7645420000003,551.0770253333334,873.014369,1013.2313196666669,1042.070615,375.6150253333334,2269.930890666667,162.96460133333332,114.74067499999998,232.3842376666667,8992.499099000004,1689.3451243333334,331.0845946666667,83.12912866666666,79.79754066666666,261.22235866666665,17.946862000000003,568.7911883333333,253.38464066666663,226.46972433333332,127.22788066666665,24.01286,101.4269193333333,52.64160166666667,22.212456666666665,5.613932666666666,71.41997766666665,131.38033366666664,74.02354866666667,6.551874333333334,141.693032,110.59832866666666,36.213105,42.169507,42.094098333333335,6.519623666666666,11.388349,39.94207033333333,31.808852666666663,1477.376980333333,15.585594333333335,615.7030686666668,7.908754666666667,3.8753126666666664,93.6279556666667
2020-06-01 02:15:00,2648.61508,1789.8930546666663,2083.796811,135.10155833333337,684.3358779999998,1209.3491149999998,762.2819809999997,532.5154523333334,25.048199666666665,354.17872766666665,657.6902636666665,165.70479666666665,1898.218196666666,111.42842633333332,1183.4990676666662,297.982121,195.12198366666667,2283.2841103333335,760.806621,179.5544736666666,109.42135833333332,242.96608700000007,1553.513566333333,265.91638066666667,545.205898,56.715836333333336,105.32901933333335,336.956516,3.98478,2745.8818023333333,11.759275,597.897804,2244.1484786666665,458.2794663333333,824.4208979999999,893.9155856666665,882.5485053333333,367.6440496666668,2080.122137666666,143.0655536666666,91.48771933333335,202.4506833333333,8302.000680333333,1523.0697416666662,293.8826393333333,77.12097333333334,82.27243866666669,239.4604786666667,15.62136933333333,507.68755533333325,239.66887633333334,190.22006766666664,114.94033200000001,17.568968666666663,93.51680366666668,44.324808,24.348019666666666,6.8918956666666675,70.79957966666667,118.22323366666667,66.11910666666667,6.085795666666666,131.52385266666667,87.31518033333333,34.712040333333334,37.88968333333333,37.41184633333334,6.011706000000001,12.266379333333333,39.17973100000001,30.273987999999996,1364.497708333333,10.079061666666668,561.3108366666667,7.495090333333333,3.844919333333334,87.58821433333331
